MEDDRA_LLT_CODE,MEDDRA_LLT,SNOMED_CT_CODE,SNOMED_CT_FSN
10018930,Haemolytic reaction,73320003,Hemolysis (finding)
10018932,Haemolytic uraemic syndrome,111407006,Hemolytic uremic syndrome (disorder)
10018937,Haemophilia A,28293008,Hereditary factor VIII deficiency disease (disorder)
10018939,Haemophilia B (Factor IX),41788008,Hereditary factor IX deficiency disease (disorder)
10018961,Haemopoiesis decreased,445961003,Ineffective hematopoiesis (finding)
10018962,Haemopoiesis impaired,445961003,Ineffective hematopoiesis (finding)
10018963,Haemopoiesis suppressed,445961003,Ineffective hematopoiesis (finding)
10018964,Haemoptysis,66857006,Hemoptysis (finding)
10018985,Haemorrhage intracranial,1386000,Intracranial hemorrhage (disorder)
10018988,Haemorrhage NOS,131148009,Bleeding (finding)
10018991,Haemorrhage of digestive tract,74474003,Gastrointestinal hemorrhage (disorder)
10018997,Haemorrhage rectum,12063002,Rectal hemorrhage (disorder)
10018999,Haemorrhage subcutaneous,5309003,Subcutaneous hematoma (disorder)
10019016,Haemorrhagic stroke,230706003,Hemorrhagic cerebral infarction (disorder)
10019019,Haemorrhoid ligation,84282008,Simple ligature of hemorrhoid (procedure)
10019021,Haemorrhoidectomy,24496007,Hemorrhoidectomy (procedure)
10019022,Haemorrhoids,70153002,Hemorrhoids (disorder)
10019024,Haemosiderosis,39011001,Hemosiderosis (disorder)
10019030,Hair colour changes,247566002,Hair color change (finding)
10019045,Hair loss,278040002,Loss of hair (finding)
10019049,Hair texture abnormal,5149003,Abnormal hair texture (finding)
10019050,Hair thinning,278040002,Loss of hair (finding)
10019053,Hairy cell leukaemia,118613001,Hairy cell leukemia (disorder)
10019055,Hairy cell leukemia,118613001,Hairy cell leukemia (disorder)
10019062,Hallucinating,7011001,Hallucinations (finding)
10019063,Hallucination,7011001,Hallucinations (finding)
10019064,Hallucination auditory,45150006,Auditory hallucinations (finding)
10019068,Hallucination visual,64269007,Visual hallucinations (finding)
10019070,"Hallucination, auditory",45150006,Auditory hallucinations (finding)
10019075,"Hallucination, visual",64269007,Visual hallucinations (finding)
10019077,Hallucinations,7011001,Hallucinations (finding)
10019093,Hallux valgus,122480009,Hallux valgus (disorder)
10019111,Hand and foot syndrome,403638003,Acral erythema due to cytotoxic therapy (disorder)
10019116,Hand pain,53057004,Hand pain (finding)
10019121,Hand swelling,299037003,Swelling of hand (finding)
10019132,Hands weakness of,299042006,Weakness of hand (finding)
10019158,Hard to awaken,733504007,Not easily wakened from sleep (finding)
10019166,Hashimoto's disease,21983002,Hashimoto thyroiditis (disorder)
10019167,Hashimoto's thyroiditis,21983002,Hashimoto thyroiditis (disorder)
10019170,Hay fever,21719001,Allergic rhinitis caused by pollen (disorder)
10019171,Hb decreased,165397008,Hemoglobin below reference range (finding)
10019192,Head cold,82272006,Common cold (disorder)
10019194,Head discomfort,25064002,Headache (finding)
10019196,Head injury,82271004,Injury of head (disorder)
10019198,Head pain,25064002,Headache (finding)
10019211,Headache,25064002,Headache (finding)
10019218,Headache NOS,25064002,Headache (finding)
10019238,Healing delayed,271618001,Impaired wound healing (finding)
10019239,Healing impaired,271618001,Impaired wound healing (finding)
10019241,Hearing decreased,103276001,Decreased hearing (finding)
10019245,Hearing impaired,15188001,Hearing loss (disorder)
10019246,Hearing loss,15188001,Hearing loss (disorder)
10019249,Heart arrest,410429000,Cardiac arrest (disorder)
10019250,Heart attack,22298006,Myocardial infarction (disorder)
10019252,Heart block,233916004,Heart block (disorder)
10019273,Heart disease congenital,13213009,Congenital heart disease (disorder)
10019276,"Heart disease, unspecified",56265001,Heart disease (disorder)
10019277,Heart disorder,56265001,Heart disease (disorder)
10019278,Heart enlarged,8186001,Cardiomegaly (disorder)
10019279,Heart failure,84114007,Heart failure (disorder)
10019285,"Heart failure, unspecified",84114007,Heart failure (disorder)
10019286,Heart fluttering,161969004,Fluttering heart (finding)
10019290,Heart insufficiency,84114007,Heart failure (disorder)
10019295,Heart murmur,88610006,Heart murmur (finding)
10019297,Heart pounding,248657009,Pounding heart (finding)
10019300,Heart rate abnormal,361135004,Abnormal cardiac rate (finding)
10019301,Heart rate decreased,42177007,Pulse slow (finding)
10019302,Heart rate high,86651002,Pulse fast (finding)
10019303,Heart rate increased,86651002,Pulse fast (finding)
10019304,Heart rate irregular,361137007,Irregular heart beat (finding)
10019305,Heart rate low,42177007,Pulse slow (finding)
10019314,Heart transplant,32413006,Transplantation of heart (procedure)
10019316,Heart valve disorders,368009,Heart valve disorder (disorder)
10019318,Heart valve replacement NOS,34068001,Replacement of heart valve (procedure)
10019322,Heartbeats increased,86651002,Pulse fast (finding)
10019323,Heartbeats irregular,361137007,Irregular heart beat (finding)
10019326,Heartburn,16331000,Heartburn (finding)
10019349,Heaviness in limbs,373931001,Sensation of heaviness in limbs (finding)
10019352,Heavy drinker,86933000,Heavy drinker (finding)
10019360,Heavy periods,386692008,Menorrhagia (finding)
10019361,Heavy smoker,230063004,Heavy cigarette smoker (finding)
10019362,Heavy sweating,52613005,Excessive sweating (finding)
10019364,Hebephrenic schizophrenia,35252006,Disorganized schizophrenia (disorder)
10019377,Helicobacter pylori infection,721730009,Infection caused by Helicobacter pylori (disorder)
10019386,Hemangioma,400210000,Hemangioma (disorder)
10019418,Hematemesis,8765009,Hematemesis (disorder)
10019423,Hematocrit decreased,165414004,Hematocrit below reference range (finding)
10019428,Hematoma,385494008,Hematoma (disorder)
10019433,Hematoma muscle,262969000,Intramuscular hematoma (disorder)
10019434,Hematoma NOS,385494008,Hematoma (disorder)
10019442,Hematoma subdural,95453001,Subdural intracranial hematoma (disorder)
10019444,Hematopoiesis depressed,445961003,Ineffective hematopoiesis (finding)
10019445,Hematopoiesis impaired,445961003,Ineffective hematopoiesis (finding)
10019447,Hematopoiesis suppressed,445961003,Ineffective hematopoiesis (finding)
10019450,Hematuria,34436003,Blood in urine (finding)
10019456,Hemianopia homonymous,34063005,Homonymous hemianopia (finding)
10019460,Hemicolectomy,43075005,Partial resection of colon (procedure)
10019465,Hemiparesis,20022000,Hemiparesis (disorder)
10019466,Hemiparesis (left),278287000,Left hemiparesis (disorder)
10019467,Hemiparesis (right),278286009,Right hemiparesis (disorder)
10019468,Hemiplegia,50582007,Hemiplegia (disorder)
10019478,Hemochromatosis,399187006,Hemochromatosis (disorder)
10019480,Hemodialysis,302497006,Hemodialysis (procedure)
10019483,Hemoglobin decreased,165397008,Hemoglobin below reference range (finding)
10019491,Hemolysis,73320003,Hemolysis (finding)
10019493,Hemolytic anemia,61261009,Hemolytic anemia (disorder)
10019494,Hemolytic anemia (NOS),61261009,Hemolytic anemia (disorder)
10019505,"Hemolytic anemia neg drug, auto antibody",413603009,Autoimmune hemolytic anemia (disorder)
10019514,Hemolytic reaction,73320003,Hemolysis (finding)
10019515,Hemolytic uremic syndrome,111407006,Hemolytic uremic syndrome (disorder)
10019516,Hemolytic-uremic syndrome,111407006,Hemolytic uremic syndrome (disorder)
10019523,Hemoptysis,66857006,Hemoptysis (finding)
10019524,Hemorrhage,131148009,Bleeding (finding)
10019529,Hemorrhage brain,274100004,Cerebral hemorrhage (disorder)
10019551,Hemorrhage intracerebral,274100004,Cerebral hemorrhage (disorder)
10019552,Hemorrhage intracranial,1386000,Intracranial hemorrhage (disorder)
10019609,Hemorrhoidal bleeding,51551000,Bleeding hemorrhoids (disorder)
10019610,Hemorrhoidectomy,24496007,Hemorrhoidectomy (procedure)
10019611,Hemorrhoids,70153002,Hemorrhoids (disorder)
10019613,Hemosiderosis,39011001,Hemosiderosis (disorder)
10019617,Henoch-Schonlein purpura,191306005,Immunoglobulin A vasculitis (disorder)
10019641,Hepatic cirrhosis,19943007,Cirrhosis of liver (disorder)
10019642,Hepatic cirrhosis NOS,19943007,Cirrhosis of liver (disorder)
10019646,Hepatic cyst,85057007,Cyst of liver (disorder)
10019648,Hepatic damage,243978007,Liver damage (disorder)
10019650,Hepatic disease,235856003,Disorder of liver (disorder)
10019653,Hepatic disorder NOS,235856003,Disorder of liver (disorder)
10019657,Hepatic dysfunction NOS,75183008,Abnormal liver function (finding)
10019660,Hepatic encephalopathy,13920009,Hepatic encephalopathy (disorder)
10019662,Hepatic enzymes increased,707724006,Liver enzymes level above reference range (finding)
10019663,Hepatic failure,59927004,Hepatic failure (disorder)
10019668,Hepatic fibrosis,62484002,Hepatic fibrosis (disorder)
10019670,Hepatic function abnormal,75183008,Abnormal liver function (finding)
10019674,Hepatic function disorder,75183008,Abnormal liver function (finding)
10019679,Hepatic infarct,17890003,Hepatic infarction (disorder)
10019680,Hepatic infarction,17890003,Hepatic infarction (disorder)
10019684,Hepatic lobule necrosis,55294001,Focal hepatic necrosis (disorder)
10019690,Hepatic metastases,94381002,Metastatic malignant neoplasm to liver (disorder)
10019692,Hepatic necrosis,87248009,Hepatic necrosis (disorder)
10019693,Hepatic necrosis extensive,197269008,Acute necrosis of liver (disorder)
10019697,Hepatic neoplasm malignant,93870000,Malignant neoplasm of liver (disorder)
10019708,Hepatic steatosis,197321007,Steatosis of liver (disorder)
10019717,Hepatitis,128241005,Inflammatory disease of liver (disorder)
10019719,Hepatitis A,40468003,"Viral hepatitis, type A (disorder)"
10019727,Hepatitis acute,37871000,Acute hepatitis (disorder)
10019729,Hepatitis allergic drug-induced,426364002,Allergic hepatitis (disorder)
10019730,Hepatitis autoimmune,408335007,Autoimmune hepatitis (disorder)
10019731,Hepatitis B,66071002,Viral hepatitis type B (disorder)
10019737,Hepatitis B carrier,235871004,Hepatitis B carrier (finding)
10019744,Hepatitis C,50711007,Viral hepatitis type C (disorder)
10019747,Hepatitis C antibody positive,314706002,Hepatitis C antibody detected (finding)
10019754,Hepatitis cholestatic,95556007,Cholestatic hepatitis (disorder)
10019766,Hepatitis drug-induced,235876009,Drug-induced hepatitis (disorder)
10019772,Hepatitis fulminant,427044009,Fulminant hepatitis (disorder)
10019784,Hepatitis necrotizing,87248009,Hepatic necrosis (disorder)
10019795,Hepatitis toxic,197352008,Toxic hepatitis (disorder)
10019796,Hepatitis toxic drug-induced,235876009,Drug-induced hepatitis (disorder)
10019831,Hepatocellular damage,419616000,Hepatocellular liver damage (disorder)
10019837,Hepatocellular injury,419616000,Hepatocellular liver damage (disorder)
10019842,Hepatomegaly,80515008,Large liver (disorder)
10019844,Hepatopathy alcoholic,41309000,Alcoholic liver damage (disorder)
10019847,Hepatosplenomegaly,36760000,Hepatosplenomegaly (disorder)
10019851,Hepatotoxicity,197354009,Toxic liver disease (disorder)
10019860,Hereditary angioedema,82966003,Hereditary angioedema (disorder)
10019909,Hernia,414403008,Herniated structure (morphologic abnormality)
10019914,Hernia hiatal,84089009,Hiatal hernia (disorder)
10019915,Hernia hiatus repair,9292007,Esophageal hiatus hernia repair (procedure)
10019917,Hernia inguinal,396232000,Inguinal hernia (disorder)
10019935,Heroin addiction,231477003,Dependence on diamorphine (disorder)
10019941,Herpes infection,23513009,Herpesvirus infection (disorder)
10019942,Herpes labialis,1475003,Herpes labialis (disorder)
10019944,Herpes NOS,23513009,Herpesvirus infection (disorder)
10019948,Herpes simplex,88594005,Herpes simplex (disorder)
10019973,Herpes virus infection,23513009,Herpesvirus infection (disorder)
10019974,Herpes zoster,4740000,Herpes zoster (disorder)
10020024,Hiatal hernia,84089009,Hiatal hernia (disorder)
10020028,Hiatus hernia,84089009,Hiatal hernia (disorder)
10020039,Hiccups,65958008,Hiccoughs (finding)
10020041,Hidradenitis suppurativa,59393003,Hidradenitis suppurativa (disorder)
10020049,High cholesterol,166830008,Serum cholesterol above reference range (finding)
10020066,High frequency deafness,15188001,Hearing loss (disorder)
10020081,High pulse rate,86651002,Pulse fast (finding)
10020083,High temperature,50177009,Body temperature above reference range (finding)
10020084,High tone sensorineural hearing loss,60700002,Sensorineural hearing loss (disorder)
10020096,Hip arthroplasty,47458005,Repair of hip joint (procedure)
10020100,Hip fracture,263225007,Fracture of proximal end of femur (disorder)
10020102,Hip replacement,398010007,Prosthetic arthroplasty of hip (procedure)
10020104,Hip total replacement,52734007,Total replacement of hip (procedure)
10020108,Hips osteoarthritis,239872002,Osteoarthritis of hip (disorder)
10020112,Hirsutism,399939002,Hirsutism (disorder)
10020141,Histoplasmosis,12962009,Histoplasmosis (disorder)
10020160,HIV disease,86406008,Human immunodeficiency virus infection (disorder)
10020161,HIV infection,86406008,Human immunodeficiency virus infection (disorder)
10020172,HIV infection NOS,86406008,Human immunodeficiency virus infection (disorder)
10020180,HIV positive,165816005,Human immunodeficiency virus detected (finding)
10020188,HIV test positive,165816005,Human immunodeficiency virus detected (finding)
10020197,Hives,247472004,Wheal (finding)
10020198,Hives giant,41291007,Angioedema (disorder)
10020200,Hoarse voice,50219008,Hoarse (finding)
10020201,Hoarseness,50219008,Hoarse (finding)
10020206,Hodgkin's disease,118599009,Hodgkin's disease (disorder)
10020328,Hodgkin's lymphoma,118599009,Hodgkin's disease (disorder)
10020381,Hormonal imbalance,84452004,Hormone abnormality (finding)
10020388,Hormone replacement therapy,266717002,Hormone replacement therapy (procedure)
10020400,Hostility,79351003,Hostile behavior (finding)
10020407,Hot flashes,238810007,Flushing (disorder)
10020408,Hot flushes,238810007,Flushing (disorder)
10020419,House dust mite allergy,232350006,Allergy to dust mite protein (finding)
10020422,HRT,266717002,Hormone replacement therapy (procedure)
10020443,Human immunodeficiency virus syndrome,86406008,Human immunodeficiency virus infection (disorder)
10020462,Humerus fracture,66308002,Fracture of humerus (disorder)
10020466,Hunger,55350005,Hungry (finding)
10020469,Huntington's chorea,58756001,Huntington's chorea (disorder)
10020488,Hydrocele,386152007,Hydrocele (morphologic abnormality)
10020508,Hydrocephalus,230745008,Hydrocephalus (disorder)
10020524,Hydronephrosis,43064006,Hydronephrosis (disorder)
10020553,Hyperacidity,61627001,Hyperchlorhydria (disorder)
10020558,Hyperactivity,44548000,Hyperactive behavior (finding)
10020562,Hyperadrenalism,237744009,Adrenal hyperfunction (disorder)
10020565,Hyperaemia,30098003,Hyperemia (morphologic abnormality)
10020571,Hyperaldosteronism,88213004,Aldosteronism (disorder)
10020573,Hyperalgesia,55406008,Hyperalgesia (finding)
10020575,Hyperammonaemia,9360008,Hyperammonemia (disorder)
10020576,Hyperammonemia,9360008,Hyperammonemia (disorder)
10020578,Hyperbilirubinaemia,14783006,Hyperbilirubinemia (disorder)
10020582,Hyperbilirubinemia,14783006,Hyperbilirubinemia (disorder)
10020583,Hypercalcaemia,66931009,Hypercalcemia (disorder)
10020584,Hypercalcaemia of malignancy,47709007,Humoral hypercalcemia of malignancy (disorder)
10020587,Hypercalcemia,66931009,Hypercalcemia (disorder)
10020588,Hypercalcemia of malignancy,47709007,Humoral hypercalcemia of malignancy (disorder)
10020601,Hyperchlorhydria,61627001,Hyperchlorhydria (disorder)
10020602,Hypercholesteremia,13644009,Hypercholesterolemia (disorder)
10020603,Hypercholesterolaemia,13644009,Hypercholesterolemia (disorder)
10020604,Hypercholesterolemia,13644009,Hypercholesterolemia (disorder)
10020608,Hypercoagulation,76612001,Hypercoagulability state (finding)
10020614,Hyperemesis gravidarum,14094001,Excessive vomiting in pregnancy (disorder)
10020619,Hyperemia,30098003,Hyperemia (morphologic abnormality)
10020635,Hyperglycaemia,80394007,Hyperglycemia (disorder)
10020639,Hyperglycemia,80394007,Hyperglycemia (disorder)
10020642,Hyperhidrosis,312230002,Hyperhidrosis (disorder)
10020646,Hyperkalaemia,14140009,Hyperkalemia (disorder)
10020647,Hyperkalemia,14140009,Hyperkalemia (disorder)
10020649,Hyperkeratosis,254666005,Keratosis (disorder)
10020661,Hyperlipaemia,55822004,Hyperlipidemia (disorder)
10020662,Hyperlipemia,55822004,Hyperlipidemia (disorder)
10020663,Hyperlipidaemia NOS,55822004,Hyperlipidemia (disorder)
10020667,Hyperlipidemia,55822004,Hyperlipidemia (disorder)
10020668,Hyperlipoproteinemia,3744001,Hyperlipoproteinemia (disorder)
10020669,Hypermagnesaemia,66978005,Hypermagnesemia (disorder)
10020672,Hypermenorrhea,386692008,Menorrhagia (finding)
10020673,Hypermenorrhoea,386692008,Menorrhagia (finding)
10020677,Hypermobility syndrome,85551004,Hypermobility syndrome (disorder)
10020679,Hypernatraemia,771115008,Hypernatremia (disorder)
10020680,Hypernatremia,771115008,Hypernatremia (disorder)
10020687,Hypernitraemia,445009001,Azotemia (disorder)
10020688,Hypernitraemia due to urea,445009001,Azotemia (disorder)
10020705,Hyperparathyroidism,66999008,Hyperparathyroidism (disorder)
10020708,Hyperparathyroidism secondary,91478007,Secondary hyperparathyroidism (disorder)
10020711,Hyperphosphataemia,20165001,Hyperphosphatemia (disorder)
10020712,Hyperphosphatemia,20165001,Hyperphosphatemia (disorder)
10020715,Hyperpigmentation skin,49765009,Hyperpigmentation of skin (disorder)
10020716,Hyperpituitarism,10649000,Hyperpituitarism (disorder)
10020718,Hyperplasia,76197007,Hyperplasia (morphologic abnormality)
10020728,Hyperplasia of prostate,433234005,Hyperplasia of prostate (disorder)
10020737,Hyperprolactinaemia,237662005,Hyperprolactinemia (disorder)
10020739,Hyperprolactinemia,237662005,Hyperprolactinemia (disorder)
10020741,Hyperpyrexia,409702008,Hyperpyrexia (finding)
10020745,Hyperreflexia,86854008,Hyperreflexia (finding)
10020746,Hypersalivation,53827007,Excessive salivation (disorder)
10020750,Hypersensitive syndrome,702809001,Drug reaction with eosinophilia and systemic symptoms (disorder)
10020751,Hypersensitivity,473010000,Hypersensitivity condition (finding)
10020755,Hypersensitivity NOS,473010000,Hypersensitivity condition (finding)
10020756,Hypersensitivity reaction,421961002,Hypersensitivity reaction (disorder)
10020760,Hypersensitivity syndrome,702809001,Drug reaction with eosinophilia and systemic symptoms (disorder)
10020765,Hypersomnia,77692006,Hypersomnia (disorder)
10020772,Hypertension,38341003,"Hypertensive disorder, systemic arterial (disorder)"
10020773,Hypertension aggravated,38341003,"Hypertensive disorder, systemic arterial (disorder)"
10020775,Hypertension arterial,38341003,"Hypertensive disorder, systemic arterial (disorder)"
10020782,Hypertension NOS,38341003,"Hypertensive disorder, systemic arterial (disorder)"
10020787,Hypertension pulmonary,70995007,Pulmonary hypertension (disorder)
10020800,Hypertensive,38341003,"Hypertensive disorder, systemic arterial (disorder)"
10020802,Hypertensive crisis,706882009,Hypertensive crisis (disorder)
10020823,Hypertensive heart disease,64715009,Hypertensive heart disease (disorder)
10020824,Hypertensive heart disease NOS,64715009,Hypertensive heart disease (disorder)
10020827,"Hypertensive heart disease, unspecified",64715009,Hypertensive heart disease (disorder)
10020843,Hyperthermia,50177009,Body temperature above reference range (finding)
10020850,Hyperthyroidism,34486009,Hyperthyroidism (disorder)
10020852,Hypertonia,56731001,Increased muscle tone (finding)
10020853,Hypertonic bladder,9009001,Low compliance urinary bladder (disorder)
10020869,Hypertriglyceridaemia,302870006,Hypertriglyceridemia (disorder)
10020870,Hypertriglyceridemia,302870006,Hypertriglyceridemia (disorder)
10020871,Hypertrophic cardiomyopathy,233873004,Hypertrophic cardiomyopathy (disorder)
10020876,Hypertrophic obstructive cardiomyopathy,45227007,Hypertrophic obstructive cardiomyopathy (disorder)
10020903,Hyperuricaemia,35885006,Hyperuricemia (disorder)
10020907,Hyperuricemia,35885006,Hyperuricemia (disorder)
10020910,Hyperventilation,68978004,Hyperventilation (finding)
10020937,Hypoaesthesia,397974008,Hypesthesia (finding)
10020942,Hypoalbuminaemia,119247004,Hypoalbuminemia (disorder)
10020943,Hypoalbuminemia,119247004,Hypoalbuminemia (disorder)
10020947,Hypocalcaemia,5291005,Hypocalcemia (disorder)
10020949,Hypocalcemia,5291005,Hypocalcemia (disorder)
10020954,Hypocellular marrow,416995001,Hypocellular bone marrow (finding)
10020969,Hypochromic anaemia,44452003,Normocytic hypochromic anemia (disorder)
10020973,Hypocoagulable state,248253003,Blood does not clot properly (finding)
10020976,Hypoesthesia,397974008,Hypesthesia (finding)
10020983,Hypogammaglobulinaemia,119250001,Hypogammaglobulinemia (finding)
10020993,Hypoglycaemia,302866003,Hypoglycemia (disorder)
10021000,Hypoglycaemic coma,267384006,Coma due to hypoglycemia (disorder)
10021005,Hypoglycemia,302866003,Hypoglycemia (disorder)
10021008,Hypoglycemic coma,267384006,Coma due to hypoglycemia (disorder)
10021012,Hypogonadotrophic hypogonadism,33927004,Hypogonadotropic hypogonadism (disorder)
10021015,Hypokalaemia,43339004,Hypokalemia (disorder)
10021018,Hypokalemia,43339004,Hypokalemia (disorder)
10021021,Hypokinesia,43994002,Behavior showing reduced motor activity (finding)
10021027,Hypomagnesaemia,190855004,Hypomagnesemia (disorder)
10021028,Hypomagnesemia,190855004,Hypomagnesemia (disorder)
10021030,Hypomania,231496004,Hypomania (disorder)
10021036,Hyponatraemia,89627008,Hyponatremia (finding)
10021038,Hyponatremia,89627008,Hyponatremia (finding)
10021041,Hypoparathyroidism,36976004,Hypoparathyroidism (disorder)
10021042,Hypopharyngeal cancer,363399006,Malignant tumor of hypopharynx (disorder)
10021058,Hypophosphataemia,4996001,Hypophosphatemia (disorder)
10021059,Hypophosphatemia,4996001,Hypophosphatemia (disorder)
10021067,Hypopituitarism,74728003,Hypopituitarism (disorder)
10021069,Hypoplasia bone marrow,416995001,Hypocellular bone marrow (finding)
10021072,Hypoplasia erythroid,167923006,Erythroid hypoplasia of bone marrow (finding)
10021077,Hypoplastic marrow,416995001,Hypocellular bone marrow (finding)
10021093,Hypospadias,416010008,Hypospadias (disorder)
10021097,Hypotension,45007003,Low blood pressure (disorder)
10021099,Hypotension NOS,45007003,Low blood pressure (disorder)
10021100,Hypotension orthostatic,28651003,Orthostatic hypotension (disorder)
10021104,Hypotension postural,28651003,Orthostatic hypotension (disorder)
10021107,Hypotensive,45007003,Low blood pressure (disorder)
10021113,Hypothermia,386689009,Hypothermia (finding)
10021114,Hypothyroidism,40930008,Hypothyroidism (disorder)
10021118,Hypotonia,398152000,Poor muscle tone (finding)
10021121,Hypotonic-hyporesponsive episode,890091002,Hypotonic-hyporesponsive episode (finding)
10021135,Hypovitaminosis,85670002,Vitamin deficiency (disorder)
10021137,Hypovolaemia,816082000,Hypovolemia (finding)
10021138,Hypovolaemic shock,39419009,Hypovolemic shock (disorder)
10021139,Hypovolemia,816082000,Hypovolemia (finding)
10021140,Hypovolemic shock,39419009,Hypovolemic shock (disorder)
10021141,Hypoxaemia,389087006,Hypoxemia (disorder)
10021142,Hypoxemia,389087006,Hypoxemia (disorder)
10021143,Hypoxia,389086002,Hypoxia (disorder)
10021144,Hypoxic,389086002,Hypoxia (disorder)
10021151,Hysterectomy,236886002,Hysterectomy (procedure)
10021153,Hysterectomy NOS,236886002,Hysterectomy (procedure)
10021184,IBD,24526004,Inflammatory bowel disease (disorder)
10021207,Icterus,18165001,Jaundice (finding)
10021211,IDDM,46635009,Diabetes mellitus type 1 (disorder)
10021240,Idiopathic pulmonary fibrosis,700250006,Idiopathic pulmonary fibrosis (disorder)
10021245,Idiopathic thrombocytopenic purpura,2897005,Immune thrombocytopenia (disorder)
10021262,IGA myeloma,285420006,Immunoglobulin A myeloma (disorder)
10021263,IgA nephropathy,236407003,Immunoglobulin A nephropathy (disorder)
10021273,IGG myeloma,285421005,Immunoglobulin G myeloma (disorder)
10021279,IHD,414545008,Ischemic heart disease (disorder)
10021306,Ileal resection,51346007,Ileectomy (procedure)
10021321,Ileostomy,173977007,Creation of ileostomy (procedure)
10021328,Ileus,710572000,Intestinal obstruction co-occurrent and due to decreased peristalsis (disorder)
10021333,Ileus paralytic,55525008,Paralytic ileus (disorder)
10021345,Ill feeling,39104002,Illness (finding)
10021414,Immediate hypersensitivity reaction,12263007,Type 1 hypersensitivity response (disorder)
10021417,Immobile,225601007,Unable to move (finding)
10021425,Immune system disorder,414029004,Disorder of immune function (disorder)
10021430,Immunisation,33879002,Administration of vaccine to produce active immunity (procedure)
10021433,Immunization,33879002,Administration of vaccine to produce active immunity (procedure)
10021449,Immunodeficiency common variable,23238000,Common variable agammaglobulinemia (disorder)
10021510,Immunosuppression NOS,38013005,Immunosuppression (finding)
10021519,Impaired healing,271618001,Impaired wound healing (finding)
10021520,Impaired liver function,77981007,Decreased liver function (finding)
10021523,Impaired renal function,236423003,Renal impairment (disorder)
10021531,Impetigo,48277006,Impetigo (disorder)
10021550,Impotence,860914002,Erectile dysfunction (disorder)
10021554,Imprisonment,45361006,Imprisonment (finding)
10021572,In vitro fertilization,52637005,Test tube ovum fertilization (procedure)
10021577,Inadequate diet,102610002,Inadequate food diet (finding)
10021590,Inappropriate dose of drug administered,397766003,Wrong dose of medication given (event)
10021599,Inarticulateness,286295003,Unable to articulate clearly (finding)
10021639,Incontinence,48340000,Incontinence (finding)
10021642,Incontinence of urine,165232002,Urinary incontinence (finding)
10021654,Increased appetite,72405004,Increased appetite (finding)
10021655,Increased blood pressure,24184005,Increased blood pressure (finding)
10021665,Increased intracranial pressure,271719001,Raised intracranial pressure (finding)
10021667,Increased intraocular pressure,112222000,Raised intraocular pressure (finding)
10021677,Increased salivation,53827007,Excessive salivation (disorder)
10021680,Increased shortness of breath,267036007,Dyspnea (finding)
10021688,Increased tendency to bruise,424131007,Easy bruising (finding)
10021689,Increased thirst,249477003,Increased thirst (finding)
10021692,Increased urinary frequency,162116003,Increased frequency of urination (finding)
10021706,Indigestion,162031009,Indigestion (finding)
10021716,Induced abortion,714812005,Induced termination of pregnancy (procedure)
10021723,Induction and maintenance of anaesthesia,399097000,Administration of anesthesia (procedure)
10021724,Induction of anaesthesia,241687005,Induction of general anesthesia (procedure)
10021750,Infantile spasms,28055006,West syndrome (disorder)
10021757,Infarct liver,17890003,Hepatic infarction (disorder)
10021758,Infarct myocardial,22298006,Myocardial infarction (disorder)
10021759,Infarct of liver,17890003,Hepatic infarction (disorder)
10021783,Infected sebaceous cyst,254671003,Infection of sebaceous cyst (disorder)
10021784,Infected skin ulcer,2622007,Infected ulcer of skin (disorder)
10021786,Infected toe,299989006,Infection of toe (disorder)
10021789,Infection,40733004,Infectious disease (disorder)
10021804,Infection bacterial,87628006,Bacterial infectious disease (disorder)
10021814,Infection fungal,3218000,Mycosis (disorder)
10021839,Infection MRSA,266096002,Methicillin resistant Staphylococcus aureus infection (disorder)
10021842,Infection NOS,40733004,Infectious disease (disorder)
10021860,Infection Pseudomonas aeruginosa,11218009,Infection caused by Pseudomonas aeruginosa (disorder)
10021863,Infection respiratory,275498002,Respiratory tract infection (disorder)
10021871,Infection upper respiratory,54150009,Upper respiratory infection (disorder)
10021872,Infection urinary tract,68566005,Urinary tract infectious disease (disorder)
10021914,Infectious mononucleosis,271558008,Infectious mononucleosis (disorder)
10021919,Infective otitis externa,86981007,Infective otitis externa (disorder)
10021921,Infective rhinitis,82272006,Common cold (disorder)
10021926,Infertility,8619003,Infertile (finding)
10021944,Infiltrating ductal breast cancer,408643008,Infiltrating duct carcinoma of breast (disorder)
10021945,Infiltration anaesthesia,44596000,"Local anesthesia, by infiltration (procedure)"
10021946,Infiltration anesthesia,44596000,"Local anesthesia, by infiltration (procedure)"
10021958,Inflammation localised,103625009,Focal inflammation (morphologic abnormality)
10021959,Inflammation localized,103625009,Focal inflammation (morphologic abnormality)
10021961,Inflammation NOS,409774005,Inflammatory morphology (morphologic abnormality)
10021972,Inflammatory bowel disease,24526004,Inflammatory bowel disease (disorder)
10021994,Inflammatory polyarthritis,417373000,Inflammatory polyarthropathy (disorder)
10021995,Inflammatory reaction,409774005,Inflammatory morphology (morphologic abnormality)
10022000,Influenza,6142004,Influenza (disorder)
10022002,Influenza A virus infection,442438000,Influenza caused by Influenza A virus (disorder)
10022003,Influenza B virus infection,24662006,Influenza caused by Influenza B virus (disorder)
10022004,Influenza like illness,95891005,Influenza-like illness (finding)
10022009,Influenza-like symptoms,95891005,Influenza-like illness (finding)
